Country,Cases
United States of America,213372
Italy,110574
Spain,104118
China,82361
Germany,77872
France,57749
Iran,47593
United Kingdom,29865
Switzerland,17768
Turkey,15679
Belgium,13964
Netherlands,13696
Austria,10711
South Korea,9887
Canada,9560
Portugal,8251
Brazil,6836
Israel,6092
Sweden,4947
Norway,4863
Australia,4862
Czechia,3508
Ireland,3447
Denmark,3290
Chile,3031
Malaysia,2908
Russia,2777
Ecuador,2748
Poland,2554
Romania,2460
Luxembourg,2319
Philippines,2311
Japan,2178
Pakistan,2118
India,1998
Thailand,1771
Saudi Arabia,1720
Indonesia,1677
Finland,1446
Greece,1415
South Africa,1380
Peru,1323
Dominican Republic,1284
Iceland,1220
Mexico,1215
Panama,1181
Colombia,1065
Republic of Serbia,1060
Argentina,1054
Singapore,1000
Croatia,963
Algeria,847
Slovenia,841
Qatar,835
United Arab Emirates,814
Ukraine,794
Egypt,779
Estonia,779
Iraq,728
Diamond Princess,712
New Zealand,708
Morocco,654
Lithuania,581
Armenia,571
Bahrain,569
Hungary,525
Lebanon,479
Bosnia and Herzegovina,459
Latvia,446
Moldova,423
Tunisia,423
Bulgaria,422
Slovakia,400
Andorra,390
Kazakhstan,380
Costa Rica,375
Azerbaijan,359
North Macedonia,354
Uruguay,338
Taiwan*,329
Cyprus,320
Kuwait,317
Burkina Faso,282
Jordan,278
Albania,259
Afghanistan,237
San Marino,236
Cameroon,233
Vietnam,218
Cuba,212
Oman,210
Ghana,195
Cote d'Ivoire,190
Senegal,190
Malta,188
Uzbekistan,181
Nigeria,174
Honduras,172
Belarus,163
Mauritius,161
Sri Lanka,146
Venezuela,143
West Bank,134
Brunei,131
Kosovo,125
Montenegro,123
Georgia,117
Bolivia,115
Kyrgyzstan,111
Cambodia,109
Congo (Kinshasa),109
Trinidad and Tobago,90
Rwanda,82
Kenya,81
Niger,74
Paraguay,69
Liechtenstein,68
Madagascar,57
Monaco,55
Bangladesh,54
Jamaica,44
Uganda,44
Guatemala,39
Togo,36
Zambia,36
Barbados,34
Djibouti,33
El Salvador,32
Mali,31
Guinea,30
Ethiopia,29
The Bahamas,21
United Republic of Tanzania,20
Democratic Republic of the Congo,19
Guyana,19
Maldives,19
Gabon,18
Haiti,16
Myanmar,15
Equatorial Guinea,15
Eritrea,15
Mongolia,14
Namibia,14
Benin,13
Saint Lucia,13
Dominica,12
Laos,10
Libya,10
Mozambique,10
Seychelles,10
Suriname,10
Syria,10
Eswatini,9
Grenada,9
Guinea Bissau,9
MS Zaandam,9
Angola,8
Saint Kitts and Nevis,8
Zimbabwe,8
Antigua and Barbuda,7
Chad,7
Sudan,7
Cabo Verde,6
Holy See,6
Liberia,6
Mauritania,6
Fiji,5
Nepal,5
Nicaragua,5
Somalia,5
Bhutan,4
Botswana,4
Gambia,4
Belize,3
Central African Republic,3
Burundi,2
Sierra Leone,2
Papua New Guinea,1
Saint Vincent and the Grenadines,1
East Timor,1
