,country_name,population
0,Afghanistan,38928346
1,Albania,2877797
2,Algeria,43851044
3,American Samoa,55191
4,Andorra,77265
5,Angola,32866272
6,Anguilla,15003
7,Antigua and Barbuda,97929
8,Argentina,45195774
9,Armenia,2963243
10,Aruba,106766
11,Australia,25499884
12,Austria,9006398
13,Azerbaijan,10139177
14,The Bahamas,393244
15,Bahrain,1701575
16,Bangladesh,164689383
17,Barbados,287375
18,Belarus,9449323
19,Belgium,11589623
20,Belize,397628
21,Benin,12123200
22,Bermuda,62278
23,Bhutan,771608
24,Bolivia,11673021
25,Bosnia and Herzegovina,3280819
26,Botswana,2351627
27,Brazil,212559417
28,British Virgin Islands,30231
29,Brunei,437479
30,Bulgaria,6948445
31,Burkina Faso,20903273
32,Burundi,11890784
33,Cote d'lvoire,26378274
34,Cabo Verde,555987
35,Cambodia,16718965
36,Cameroon,26545863
37,Canada,37742154
38,Caribbean Netherlands,26223
39,Cayman Islands,65722
40,Central African Republic,4829767
41,Chad,16425864
42,Channel Islands,173863
43,Chile,19116201
44,China,1439323776
45,Colombia,50882891
46,Comoros,869601
47,Congo,5518087
48,Cook Islands,17564
49,Costa Rica,5094118
50,Croatia,4105267
51,Cuba,11326616
52,Curaçao,164093
53,Cyprus,1207359
54,Czech Republic (Czechia),10708981
55,Denmark,5792202
56,Djibouti,988000
57,Dominica,71986
58,Dominican Republic,10847910
59,Democratic Republic of the Congo ,89561403
60,Ecuador,17643054
61,Egypt,102334404
62,El Salvador,6486205
63,Equatorial Guinea,1402985
64,Eritrea,3546421
65,Estonia,1326535
66,Eswatini,1160164
67,Ethiopia,114963588
68,Faeroe Islands,48863
69,Falkland Islands,3480
70,Fiji,896445
71,Finland,5540720
72,France,65273511
73,French Guiana,298682
74,French Polynesia,280908
75,Gabon,2225734
76,Gambia,2416668
77,Georgia,3989167
78,Germany,83783942
79,Ghana,31072940
80,Gibraltar,33691
81,Greece,10423054
82,Greenland,56770
83,Grenada,112523
84,Guadeloupe,400124
85,Guam,168775
86,Guatemala,17915568
87,Guinea,13132795
88,Guinea Bissau,1968001
89,Guyana,786552
90,Haiti,11402528
91,Holy See,801
92,Honduras,9904607
93,Hong Kong,7496981
94,Hungary,9660351
95,Iceland,341243
96,India,1380004385
97,Indonesia,273523615
98,Iran,83992949
99,Iraq,40222493
100,Ireland,4937786
101,Isle of Man,85033
102,Israel,8655535
103,Italy,60461826
104,Jamaica,2961167
105,Japan,126476461
106,Jordan,10203134
107,Kazakhstan,18776707
108,Kenya,53771296
109,Kiribati,119449
110,Kuwait,4270571
111,Kyrgyzstan,6524195
112,Laos,7275560
113,Latvia,1886198
114,Lebanon,6825445
115,Lesotho,2142249
116,Liberia,5057681
117,Libya,6871292
118,Liechtenstein,38128
119,Lithuania,2722289
120,Luxembourg,625978
121,Macao,649335
122,Madagascar,27691018
123,Malawi,19129952
124,Malaysia,32365999
125,Maldives,540544
126,Mali,20250833
127,Malta,441543
128,Marshall Islands,59190
129,Martinique,375265
130,Mauritania,4649658
131,Mauritius,1271768
132,Mayotte,272815
133,Mexico,128932753
134,Micronesia,115023
135,Moldova,4033963
136,Monaco,39242
137,Mongolia,3278290
138,Montenegro,628066
139,Montserrat,4992
140,Morocco,36910560
141,Mozambique,31255435
142,Myanmar,54409800
143,Namibia,2540905
144,Nauru,10824
145,Nepal,29136808
146,Netherlands,17134872
147,New Caledonia,285498
148,New Zealand,4822233
149,Nicaragua,6624554
150,Niger,24206644
151,Nigeria,206139589
152,Niue,1626
153,North Korea,25778816
154,Macedonia,2083374
155,Northern Mariana Islands,57559
156,Norway,5421241
157,Oman,5106626
158,Pakistan,220892340
159,Palau,18094
160,Panama,4314767
161,Papua New Guinea,8947024
162,Paraguay,7132538
163,Peru,32971854
164,Philippines,109581078
165,Poland,37846611
166,Portugal,10196709
167,Puerto Rico,2860853
168,Qatar,2881053
169,Réunion,895312
170,Romania,19237691
171,Russia,145934462
172,Rwanda,12952218
173,Saint Barthelemy,9877
174,Saint Helena,6077
175,Saint Kitts & Nevis,53199
176,Saint Lucia,183627
177,Saint Martin,38666
178,Saint Pierre & Miquelon,5794
179,Samoa,198414
180,San Marino,33931
181,Sao Tome & Principe,219159
182,Saudi Arabia,34813871
183,Senegal,16743927
184,Republic of Serbia ,8737371
185,Seychelles,98347
186,Sierra Leone,7976983
187,Singapore,5850342
188,Sint Maarten,42876
189,Slovakia,5459642
190,Slovenia,2078938
191,Solomon Islands,686884
192,Somalia,15893222
193,South Africa,59308690
194,South Korea,51269185
195,South Sudan,11193725
196,Spain,46754778
197,Sri Lanka,21413249
198,St. Vincent & Grenadines,110940
199,State of Palestine,5101414
200,Sudan,43849260
201,Suriname,586632
202,Sweden,10099265
203,Switzerland,8654622
204,Syria,17500658
205,Taiwan,23816775
206,Tajikistan,9537645
207,United Republic of Tanzania,59734218
208,Thailand,69799978
209,East Timor ,1318445
210,Togo,8278724
211,Tokelau,1357
212,Tonga,105695
213,Trinidad and Tobago,1399488
214,Tunisia,11818619
215,Turkey,84339067
216,Turkmenistan,6031200
217,Turks and Caicos,38717
218,Tuvalu,11792
219,U.S. Virgin Islands,104425
220,Uganda,45741007
221,Ukraine,43733762
222,United Arab Emirates,9890402
223,United Kingdom,67886011
224,United States of America ,331002651
225,Uruguay,3473730
226,Uzbekistan,33469203
227,Vanuatu,307145
228,Venezuela,28435940
229,Vietnam,97338579
230,Wallis & Futuna,11239
231,Western Sahara,597339
232,Yemen,29825964
233,Zambia,18383955
234,Zimbabwe,14862924
